timestamp,funding_rate,mark_price
2025-07-20 08:00:00+00:00,0.00010000,117993.92586594
2025-07-20 16:00:00+00:00,0.00010000,118669.40000000
2025-07-21 00:00:00.001000+00:00,0.00010000,117227.38173188
2025-07-21 08:00:00+00:00,0.00010000,119352.10000000
2025-07-21 16:00:00.001000+00:00,0.00010000,118304.20000000
2025-07-22 00:00:00+00:00,0.00010000,117331.09485145
2025-07-22 08:00:00.010000+00:00,0.00010000,117959.50000000
2025-07-22 16:00:00.007000+00:00,0.00010000,118899.80000000
2025-07-23 00:00:00+00:00,0.00010000,119993.70000000
2025-07-23 08:00:00.004000+00:00,0.00010000,118327.36687681
2025-07-23 16:00:00.002000+00:00,0.00010000,118531.00000000
2025-07-24 00:00:00+00:00,0.00010000,118713.50000000
2025-07-24 08:00:00.001000+00:00,0.00010000,118368.00000000
2025-07-24 16:00:00+00:00,0.00010000,119074.10000000
2025-07-25 00:00:00+00:00,0.00010000,118283.40000000
2025-07-25 08:00:00+00:00,0.00010000,115314.35953986
2025-07-25 16:00:00+00:00,0.00010000,115691.05080797
2025-07-26 00:00:00.001000+00:00,0.00010000,117588.55875092
2025-07-26 08:00:00.005000+00:00,0.00010000,117288.73869928
2025-07-26 16:00:00.001000+00:00,0.00010000,118112.87820652
2025-07-27 00:00:00.001000+00:00,0.00010000,117889.30000000
2025-07-27 08:00:00+00:00,0.00010000,118087.08156884
2025-07-27 16:00:00.008000+00:00,0.00010000,118580.80000000
2025-07-28 00:00:00.005000+00:00,0.00010000,119419.44478261
2025-07-28 08:00:00+00:00,0.00010000,118886.24443841
2025-07-28 16:00:00+00:00,0.00010000,118158.66325758
2025-07-29 00:00:00.001000+00:00,0.00010000,118041.86715530
2025-07-29 08:00:00+00:00,0.00010000,118856.30000000
2025-07-29 16:00:00+00:00,0.00010000,117351.43826812
2025-07-30 00:00:00.011000+00:00,0.00010000,117904.12262319
2025-07-30 08:00:00+00:00,0.00010000,118083.20000000
2025-07-30 16:00:00.008000+00:00,0.00010000,117949.90000000
2025-07-31 00:00:00+00:00,0.00005694,117772.92036957
2025-07-31 08:00:00.009000+00:00,0.00010000,118624.00000000
2025-07-31 16:00:00+00:00,0.00010000,118263.69556522
2025-08-01 00:00:00.001000+00:00,-0.00001408,115702.16776087
2025-08-01 08:00:00.003000+00:00,0.00001549,115035.53571377
2025-08-01 16:00:00+00:00,0.00005681,115305.30000000
2025-08-02 00:00:00.004000+00:00,0.00004810,113244.70000000
2025-08-02 08:00:00+00:00,0.00000894,113920.40738768
2025-08-02 16:00:00+00:00,0.00004437,112798.50000000
2025-08-03 00:00:00+00:00,0.00005633,112509.76593841
2025-08-03 08:00:00+00:00,0.00004533,113647.10000000
2025-08-03 16:00:00.003000+00:00,0.00007504,113905.36980217
2025-08-04 00:00:00.004000+00:00,0.00004188,114150.84958333
2025-08-04 08:00:00+00:00,0.00005719,114606.90000000
2025-08-04 16:00:00.002000+00:00,0.00003912,114774.55804710
2025-08-05 00:00:00+00:00,0.00007101,115002.10000000
2025-08-05 08:00:00+00:00,0.00008589,113924.70000000
2025-08-05 16:00:00+00:00,0.00004784,112890.03634109
2025-08-06 00:00:00.005000+00:00,0.00005172,114077.36580435
2025-08-06 08:00:00+00:00,0.00009275,114180.50319380
2025-08-06 16:00:00+00:00,0.00008288,115389.84358140
2025-08-07 00:00:00.003000+00:00,0.00004843,114945.22391860
2025-08-07 08:00:00.002000+00:00,0.00007574,114751.20000000
2025-08-07 16:00:00.002000+00:00,0.00006275,116634.60000000
2025-08-08 00:00:00.002000+00:00,0.00002403,117419.90000000
2025-08-08 08:00:00.004000+00:00,0.00001729,116773.12222500
